destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
385,None,None,None,None,None,None,None,None,2632.0824
386,None,None,None,None,None,None,None,None,2629.5192
188,None,None,None,None,None,None,None,None,3695.3759999999997
137,None,None,None,None,None,None,None,None,3595.872
418,None,None,None,None,None,None,None,None,3277.812
417,None,None,None,None,None,None,None,None,3258.6516
420,None,None,None,None,None,None,None,None,3849.6816
419,None,None,None,None,None,None,None,None,3858.1056
424,None,None,None,None,None,None,None,None,3129.4044
423,None,None,None,None,None,None,None,None,3139.956
426,None,None,None,None,None,None,None,None,4019.6243999999997
425,None,None,None,None,None,None,None,None,4014.5496
189,None,None,None,None,None,None,None,None,3274.5191999999997
20,None,None,None,None,None,None,None,None,3268.5036
2568,None,None,None,None,None,None,None,None,11876.7252
431,None,None,None,None,None,None,None,None,11853.0792
466,None,None,None,None,None,None,None,None,5848.727999999999
467,None,None,None,None,None,None,None,None,5852.1924
468,None,None,None,None,None,None,None,None,8654.4912
469,None,None,None,None,None,None,None,None,8646.8592
471,None,None,None,None,None,None,None,None,9141.4308
470,None,None,None,None,None,None,None,None,9143.2248
474,None,None,None,None,None,None,None,None,8141.2512
473,None,None,None,None,None,None,None,None,8131.8336
476,None,None,None,None,None,None,None,None,4618.746
475,None,None,None,None,None,None,None,None,4620.1272
478,None,None,None,None,None,None,None,None,7836.416399999999
477,None,None,None,None,None,None,None,None,7833.1824
479,None,None,None,None,None,None,None,None,9521.694
480,None,None,None,None,None,None,None,None,9550.787999999999
481,None,None,None,None,None,None,None,None,7046.4612
482,None,None,None,None,None,None,None,None,7007.5656
1243,None,None,None,None,None,None,None,None,8313.431999999999
1244,None,None,None,None,None,None,None,None,8307.1008
2250,None,None,None,None,None,None,None,None,10480.730399999999
2505,None,None,None,None,None,None,None,None,10493.5044
2252,None,None,None,None,None,None,None,None,10962.2916
2509,None,None,None,None,None,None,None,None,10961.161199999999
489,None,None,None,None,None,None,None,None,5473.5948
488,None,None,None,None,None,None,None,None,5469.3156
490,None,None,None,None,None,None,None,None,5542.0308
491,None,None,None,None,None,None,None,None,5567.4468
492,None,None,None,None,None,None,None,None,3744.462
493,None,None,None,None,None,None,None,None,3740.9651999999996
495,None,None,None,None,None,None,None,None,4583.142
494,None,None,None,None,None,None,None,None,4575.0588
499,None,None,None,None,None,None,None,None,6194.582399999999
500,None,None,None,None,None,None,None,None,6215.1276
502,None,None,None,None,None,None,None,None,6218.9352
503,None,None,None,None,None,None,None,None,6264.779999999999
504,None,None,None,None,None,None,None,None,6216.4392
505,None,None,None,None,None,None,None,None,6220.2588
1272,None,None,None,None,None,None,None,None,4009.6872
1270,None,None,None,None,None,None,None,None,4016.5188
2560,None,None,None,None,None,None,None,None,5151.3168
2561,None,None,None,None,None,None,None,None,5164.152
29,None,None,None,None,None,None,None,None,4487.766
7,None,None,None,None,None,None,None,None,5866.010399999999
506,None,None,None,None,None,None,None,None,5412.3312
497,None,None,None,None,None,None,None,None,5925.688799999999
496,None,None,None,None,None,None,None,None,5919.4404
501,None,None,None,None,None,None,None,None,3844.1675999999998
111,None,None,None,None,None,None,None,None,3841.578
190,None,None,None,None,None,None,None,None,5059.6092
28,None,None,None,None,None,None,None,None,5079.411599999999
498,None,None,None,None,None,None,None,None,5865.708
508,None,None,None,None,None,None,None,None,7611.48
509,None,None,None,None,None,None,None,None,7644.567599999999
1264,None,None,None,None,None,None,None,None,4588.4508
1265,None,None,None,None,None,None,None,None,4582.4856
512,None,None,None,None,None,None,None,None,7931.2512
513,None,None,None,None,None,None,None,None,7935.0419999999995
514,None,None,None,None,None,None,None,None,6043.9848
515,None,None,None,None,None,None,None,None,6054.527999999999
520,None,None,None,None,None,None,None,None,8128.8228
521,None,None,None,None,None,None,None,None,8134.5419999999995
522,None,None,None,None,None,None,None,None,6158.709599999999
523,None,None,None,None,None,None,None,None,6168.1608
524,None,None,None,None,None,None,None,None,6483.9132
525,None,None,None,None,None,None,None,None,6490.006799999999
191,None,None,None,None,None,None,None,None,6081.3384
93,None,None,None,None,None,None,None,None,6081.3936
549,None,None,None,None,None,None,None,None,8817.3432
550,None,None,None,None,None,None,None,None,8825.1528
829,None,None,None,None,None,None,None,None,9844.5888
830,None,None,None,None,None,None,None,None,9845.8716
551,None,None,None,None,None,None,None,None,8669.4108
552,None,None,None,None,None,None,None,None,8674.7088
554,None,None,None,None,None,None,None,None,8403.6516
553,None,None,None,None,None,None,None,None,8408.885999999999
539,None,None,None,None,None,None,None,None,7931.671199999999
37,None,None,None,None,None,None,None,None,8023.722
538,None,None,None,None,None,None,None,None,8038.451999999999
546,None,None,None,None,None,None,None,None,7597.0235999999995
545,None,None,None,None,None,None,None,None,7606.252799999999
617,None,None,None,None,None,None,None,None,11664.0096
616,None,None,None,None,None,None,None,None,11661.2508
622,None,None,None,None,None,None,None,None,9599.7732
623,None,None,None,None,None,None,None,None,9603.073199999999
650,None,None,None,None,None,None,None,None,9810.0672
649,None,None,None,None,None,None,None,None,9820.1724
624,None,None,None,None,None,None,None,None,9221.7504
625,None,None,None,None,None,None,None,None,9217.9464
640,None,None,None,None,None,None,None,None,10845.204
639,None,None,None,None,None,None,None,None,10846.5024
627,None,None,None,None,None,None,None,None,8520.137999999999
626,None,None,None,None,None,None,None,None,8518.519199999999
638,None,None,None,None,None,None,None,None,9401.258399999999
637,None,None,None,None,None,None,None,None,9410.8884
628,None,None,None,None,None,None,None,None,8686.8168
629,None,None,None,None,None,None,None,None,8675.9088
647,None,None,None,None,None,None,None,None,11528.2836
648,None,None,None,None,None,None,None,None,11498.4444
631,None,None,None,None,None,None,None,None,7136.1143999999995
641,None,None,None,None,None,None,None,None,8309.4588
642,None,None,None,None,None,None,None,None,8297.7708
633,None,None,None,None,None,None,None,None,8122.9284
634,None,None,None,None,None,None,None,None,8058.2771999999995
644,None,None,None,None,None,None,None,None,9178.1688
645,None,None,None,None,None,None,None,None,9132.738
635,None,None,None,None,None,None,None,None,7527.0132
636,None,None,None,None,None,None,None,None,7516.365599999999
2633,None,None,None,None,None,None,None,None,8467.3836
621,None,None,None,None,None,None,None,None,10266.5616
620,None,None,None,None,None,None,None,None,10232.6988
643,None,None,None,None,None,None,None,None,7643.8967999999995
46,None,None,None,None,None,None,None,None,7884.0588
430,None,None,None,None,None,None,None,None,11312.2632
666,None,None,None,None,None,None,None,None,9013.4352
665,None,None,None,None,None,None,None,None,9014.6316
1262,None,None,None,None,None,None,None,None,10626.422400000001
1263,None,None,None,None,None,None,None,None,10602.7308
47,None,None,None,None,None,None,None,None,11726.6148
131,None,None,None,None,None,None,None,None,11699.527199999999
720,None,None,None,None,None,None,None,None,4229.484
719,None,None,None,None,None,None,None,None,4228.6272
724,None,None,None,None,None,None,None,None,7405.8156
725,None,None,None,None,None,None,None,None,7405.4748
726,None,None,None,None,None,None,None,None,10001.5944
727,None,None,None,None,None,None,None,None,9969.5352
64,None,None,None,None,None,None,None,None,8033.508
2558,None,None,None,None,None,None,None,None,10495.140000000001
65,None,None,None,None,None,None,None,None,10488.051599999999
186,None,None,None,None,None,None,None,None,9626.0628
92,None,None,None,None,None,None,None,None,9625.8552
187,None,None,None,None,None,None,None,None,8374.8012
136,None,None,None,None,None,None,None,None,8376.101999999999
756,None,None,None,None,None,None,None,None,11835.1116
755,None,None,None,None,None,None,None,None,11850.1836
140,None,None,None,None,None,None,None,None,3937.3307999999997
827,None,None,None,None,None,None,None,None,11561.0244
828,None,None,None,None,None,None,None,None,11561.9232
